original,estandarizado
SAN PEDRONAV,SAN PEDRO
SAN JOSE DEL CABO,SAN JOSE DEL CABO
SAN JOSE DE GUAYPARIME,SAN JOSE DE GUAYPARIME
SAN IGNACIO,SAN IGNACIO
SAN BLAS,SAN BLAS
SAN ANTONIO,SAN ANTONIO
SALVALVARADO,SALVADOR ALVARADO
SALVADOR ALVAR,SALVADOR ALVARADO
SALVADOR ALV,SALVADOR ALVARADO
SALV ALVARADO,SALVADOR ALVARADO
SALV,SALVADOR ALVARADO
RUIZ,RUIZ
ROSARIO,ROSARIO SINALOA
RINCON DE LOS MONZON,RINCON DE LOS MONZON
RECOVECO,RECOVECO
REALITO SATAYA,REALITO SATAYA
QUILA CLN,QUILA
QUILA CLN SIN,QUILA
QUILA CULIACAN,QUILA
QUILA SIN,QUILA
QUILACULIACAN,QUILA
POTRERILLOS,POTRERILLOS DEL NORO
GVE,PITAYAL
PERICO,PERICOS
PERICOS CLN,PERICOS
PERICOS MOC,PERICOS
PERICOS SIN,PERICOS
PERICOSMOCORIT,PERICOS
PERICOSMOCSIN,PERICOS
OERICOS MOCORIT,PERICOS
PERICOSSIN,PERICOS
PDE GALVEZ GVE,PORTUGUEZ DE GALVEZ
PALOS,PALMITAS
PALMARITO,PALMITAS
PALMAR,PALMITAS
OTAMETO,OTAMETO
OSTA RICA CLN,COSTA RICA
NIO GVE,NIEBLAS
NAVOLATO  SINALOA,NAVOLATO
NAVOLATOCLNS,NAVOLATO
NAVOLATOSIN,NAVOLATO
MOCORITO SIN,MOCORITO
MOC,MOCORITO
MELCHOR OCAMPO,MELCHOR OCAMPO
MAZATLAN  SINALOA,MAZATLAN
MAZATLAN SIN,MAZATLAN
MAZATLANSIN,MAZATLAN
MAXIMILIANO R LOPEZ,MAXIMILIANO R LOPEZ
MAQUIPOSINALOA,MAQUIPO
MALPICACONCORD,MALPICA
CULAICAN,CULIACAN
CUL,CULIACAN
CULIACA,CULIACAN
CULIANCA SIN,CULIACAN
CULIANCAN,CULIACAN
CULICACAN,CULIACAN
VILLA ANGEL F,VILLA ANGEL FLORES
VILLA AFNAV,VILLA ANGEL FLORES
VILLA AFLORES,VILLA ANGEL FLORES
VILLA ANGEL FN,VILLA ANGEL FLORES
V JUAREZ NAV,VILLA JUAREZ
VILLAJUAREZ,VILLA JUAREZ
V,VILLA
CULIACANA,CULIACAN
CULIACAN|,CULIACAN
